CMDLINE C:\Users\Admin\AppData\Local\Programs\Python\Python311\python.exe services\analytics\analytics_service.py
MEM 2.382812 1732185061.8425
MEM 18.875000 1732185061.9427
MEM 28.105469 1732185062.0433
MEM 36.250000 1732185062.1435
MEM 37.601562 1732185062.2439
MEM 44.199219 1732185062.3442
MEM 48.687500 1732185062.4447
MEM 57.804688 1732185062.5453
MEM 65.433594 1732185062.6457
MEM 71.242188 1732185062.7463
MEM 75.652344 1732185062.8466
MEM 77.972656 1732185062.9472
MEM 75.718750 1732185063.0479
